62,0,2,2,26855,1734,0,0,3,2,1,0,1,1,1,1,1,0,0
67,0,1,2,26855,1734,11552,7434,3,3,1,0,1,1,1,1,1,0,0
96,0,1,2,26855,1734,11506,11668,3,3,1,0,1,1,1,1,1,465,885
826,0,1,2,26855,1734,0,0,3,3,1,0,1,1,1,1,1,0,0
148,0,1,2,26855,1734,12659,11552,3,2,1,0,1,1,1,1,1,465,825
155,0,1,2,26855,1734,950,0,3,3,1,0,1,1,1,1,1,0,0
164,0,1,2,26855,1734,0,0,0,2,3,0,1,1,1,1,1,465,885
167,0,2,2,26855,1734,12659,0,3,2,1,0,1,1,1,1,1,465,885
170,0,1,2,26855,1734,8710,4475,3,3,1,0,1,1,1,1,1,0,0
174,0,2,2,26855,1734,0,0,3,3,1,0,1,1,1,1,1,435,810
179,0,2,2,26855,1734,12659,11637,3,3,1,1,1,1,1,1,1,0,0
185,0,1,2,26855,1734,4501,0,0,2,3,0,1,1,1,1,1,465,885
190,0,2,2,26855,1734,11637,4271,3,2,1,0,1,1,1,1,1,465,885
194,0,2,2,26855,1734,0,0,3,2,1,0,1,1,1,1,1,465,885
200,0,1,2,26855,1734,12659,0,3,3,1,0,1,1,1,1,1,465,885
321,0,1,2,26855,1734,0,0,3,3,1,0,1,1,1,1,1,465,825
834,0,2,2,26855,1734,0,0,3,3,1,0,1,1,1,1,1,0,0
358,0,1,2,26855,1734,0,0,3,2,1,0,1,1,1,1,1,0,0
366,0,1,2,26855,1734,11552,0,0,2,3,0,1,1,1,1,1,465,915
387,0,1,2,26855,1734,11506,0,3,2,1,0,1,1,1,1,1,0,0
566,0,1,2,26855,1734,11552,12659,3,3,1,0,1,1,1,1,1,0,0
617,0,2,2,26855,1734,9580,0,3,3,1,0,1,1,1,1,1,465,885
860,0,1,3,0,0,0,0,3,3,1,0,1,1,1,1,1,0,0
714,0,1,2,26855,1734,0,0,3,3,1,0,1,1,1,1,1,0,0
776,0,1,2,26855,1734,0,0,3,3,1,0,1,1,1,1,1,465,885
802,0,1,2,26855,1734,0,0,3,2,1,0,1,1,1,1,1,0,0
958,1734,2,2,26855,1734,0,0,1,3,2,0,1,1,1,1,1,465,885
1064,0,1,2,26855,1734,0,0,0,2,3,0,1,1,1,1,1,465,855
