22,28,138,1602
22,108,81,840
22,111,1009,15330
22,112,172,1973
22,114,154,1751
22,165,14,35
22,166,7,17
22,181,64,634
22,188,142,1571
22,190,153,1787
22,191,160,1880
22,288,129,313
22,304,29,69
22,390,163,1899
22,391,172,2003
22,428,239,2743
22,468,134,1474
22,470,99,1052
22,489,189,2139
22,546,78,800
22,566,115,278
22,615,22,52
22,619,50,122
22,620,58,139
22,629,101,243
22,630,122,295
22,825,235,2700
22,833,233,2676
22,854,41,358
22,858,38,322
22,869,183,2073
22,873,79,810
22,931,118,1301
22,932,120,1332
22,933,115,1263
22,943,246,2690
22,984,187,2121
22,1020,42,362
22,1028,95,1011
22,1077,210,2397
22,1144,213,2284
22,1154,248,2713
22,1173,563,7764
22,1225,43,375
22,1228,145,1610
22,1313,79,808
22,1316,67,671
22,1322,86,892
22,1324,75,766
22,1326,77,785
22,1327,80,821
22,1329,86,895
22,1331,90,950
22,1348,76,781
22,1387,209,2168
22,1466,53,494
22,1523,49,448
22,1602,41,356
22,1649,488,6869
22,1695,157,1795
22,1734,79,810
22,1751,127,1444
22,1797,104,1116
28,22,139,1604
28,108,133,1682
28,111,926,15968
28,112,105,1455
28,114,86,1233
28,165,153,1639
28,166,146,1621
28,181,116,1476
28,188,118,1472
28,190,80,1127
28,191,88,1057
28,288,268,1917
28,304,167,1673
28,390,185,2537
28,391,194,2642
28,428,348,4276
28,468,121,1512
28,470,96,1238
28,489,137,1709
28,546,130,1642
28,566,254,1882
28,615,160,1656
28,619,189,1726
28,620,196,1743
28,629,239,1847
28,630,261,1899
28,825,344,4233
28,833,342,4209
28,854,112,1423
28,858,115,1459
28,869,102,1260
28,873,175,2187
28,931,35,491
28,932,38,521
28,933,32,453
28,943,150,1592
28,984,136,1691
28,1020,151,1896
28,1028,183,2388
28,1077,319,3930
28,1144,117,1187
28,1154,152,1615
28,1173,427,6666
28,1225,110,1406
28,1228,64,797
28,1313,183,2285
28,1316,119,1512
28,1322,138,1734
28,1324,127,1608
28,1326,129,1626
28,1327,132,1663
28,1329,138,1736
28,1331,142,1791
28,1348,128,1623
28,1387,114,1070
28,1466,162,2027
28,1523,158,1981
28,1602,150,1889
28,1649,352,5771
28,1695,90,1277
28,1734,131,1652
28,1751,31,447
28,1797,213,2649
108,22,79,815
108,28,133,1681
108,111,1054,16018
108,112,172,2195
108,114,154,1973
108,165,94,850
108,166,86,832
108,181,19,225
108,188,80,970
108,190,147,1866
108,191,155,1959
108,288,209,1128
108,304,108,884
108,390,208,2587
108,391,217,2691
